,price_zz800,price_zz800_adj
2022-04-20,4382.4,1.07290799588699
2022-04-21,4286.48,1.0494246682661703
2022-04-22,4297.52,1.0521275033050974
2022-04-25,4069.89,0.9963986681682416
2022-04-26,4020.95,0.9844170787837242
2022-04-27,4147.86,1.0154874406306615
2022-04-28,4165.69,1.0198526171473339
2022-04-29,4280.28,1.0479067717769182
2022-05-05,4285.56,1.0491994320129268
2022-05-06,4180.83,1.0235592224452823
2022-05-09,4162.84,1.0191548744063066
2022-05-10,4211.91,1.0311682906526956
2022-05-11,4266.7,1.0445820888214268
2022-05-12,4253.08,1.0412476129853596
2022-05-13,4286.97,1.0495446310532244
2022-05-16,4259.63,1.0428511971796504
2022-05-17,4304.58,1.0538559467267297
2022-05-18,4289.81,1.0502399255741077
2022-05-19,4303.25,1.0535303334475836
2022-05-20,4383.21,1.0731063017186506
2022-05-23,4370.11,1.069899133330069
2022-05-24,4253.87,1.041441022376732
2022-05-25,4290.78,1.0504774029280712
2022-05-26,4310.6,1.055329775253391
2022-05-27,4315.36,1.0564951280419135
2022-05-30,4345.61,1.0639009939773785
2022-05-31,4411.49,1.0800298682857563
2022-06-01,4404.18,1.078240219360525
2022-06-02,4418.97,1.081861136953435
2022-06-06,4500.83,1.1019022670518532
2022-06-07,4511.4,1.104490035744014
2022-06-08,4550.28,1.1140087156637124
2022-06-09,4498.83,1.1014126230230623
2022-06-10,4569.92,1.118817020026441
2022-06-13,4528.27,1.108620183126867
2022-06-14,4562.63,1.1170322675414974
2022-06-15,4605.65,1.1275645106007932
2022-06-16,4583.35,1.1221049796797729
2022-06-17,4640.64,1.136130832884493
2022-06-20,4660.59,1.1410150320716839
2022-06-21,4647.11,1.137714831317632
2022-06-22,4584.93,1.1224917984625178
2022-06-23,4666.23,1.1423958282328746
2022-06-24,4719.83,1.1555182882044754
2022-06-27,4767.23,1.1671228516868235
2022-06-28,4821.65,1.1804460657102287
2022-06-29,4742.59,1.1610904372521178
2022-06-30,4808.73,1.1772829652842383
2022-07-01,4791.04,1.1729520638495814
2022-07-04,4830.02,1.1824952259707193
2022-07-05,4822.66,1.1806933359447682
2022-07-06,4752.6,1.163541105616217
2022-07-07,4774.65,1.1689394310336385
2022-07-08,4754.02,1.1638887528766588
2022-07-11,4678.32,1.1453557263869167
2022-07-12,4631.03,1.1337780933261519
2022-07-13,4642.25,1.1365249963276698
2022-07-14,4648.79,1.1381261323018166
2022-07-15,4569.97,1.1188292611271606
2022-07-18,4626.5,1.1326690496009402
2022-07-19,4611.69,1.1290432355677422
2022-07-20,4636.85,1.135202957449934
2022-07-21,4586.65,1.122912892327278
2022-07-22,4578.09,1.1208172158840524
2022-07-25,4546.83,1.1131640797140478
2022-07-26,4587.69,1.1231675072222493
2022-07-27,4574.92,1.1200411300984185
2022-07-28,4578.28,1.1208637320667874
2022-07-29,4523.31,1.107405865935465
2022-08-01,4547.93,1.1134333839298831
2022-08-02,4449.75,1.0893967585565294
2022-08-03,4408.94,1.0794055721490476
2022-08-04,4443.26,1.0878078636831026
2022-08-05,4508.35,1.103743328600108
2022-08-08,4510.5,1.104269695931058
2022-08-09,4520.48,1.1067130196347255
2022-08-10,4479.04,1.0965675953581746
2022-08-11,4568.3,1.1184204083631202
2022-08-12,4563.06,1.1171375410076876
2022-08-15,4562.5,1.117000440679626
2022-08-16,4560.09,1.1164104196249327
2022-08-17,4597.05,1.1254590412769916
2022-08-18,4562.58,1.1170200264407775
2022-08-19,4525.17,1.1078612348822408
2022-08-22,4564.33,1.1174484649659697
2022-08-23,4546.63,1.113115115311169
2022-08-24,4450.07,1.089475101601136
2022-08-25,4484.45,1.0978920824560545
2022-08-26,4473.03,1.0950962150516574
2022-08-29,4460.46,1.0920188023307056
2022-08-30,4444.9,1.088209371786711
2022-08-31,4424.21,1.0831440043088676
2022-09-01,4390.41,1.0748690202222984
2022-09-02,4378.02,1.0718356754639378
2022-09-05,4377.25,1.0716471625128532
2022-09-06,4426.71,1.0837560593448563
2022-09-07,4430.69,1.0847304509621505
2022-09-08,4411.41,1.0800102825246045
2022-09-09,4465.1,1.093154776477501
2022-09-13,4476.3,1.095896783038731
2022-09-14,4429.98,1.0845566273319296
2022-09-15,4373.47,1.0707217352984382
2022-09-16,4269.12,1.045174558096264
2022-09-19,4257.94,1.0424374479753218
2022-09-20,4269.92,1.0453704157077806
2022-09-21,4249.78,1.0404397003378543
2022-09-22,4219.45,1.0330142486412377
2022-09-23,4195.01,1.027030798609411
2022-09-26,4164.4,1.0195367967487636
2022-09-27,4230.03,1.0356044655535426
2022-09-28,4151.35,1.016341869460902
2022-09-29,4150.49,1.0161313225285218
2022-09-30,4122.04,1.0091661362189688
2022-10-10,4039.58,0.9889781129119131
2022-10-11,4053.77,0.9924521372961856
2022-10-12,4124.17,1.0096876071096312
2022-10-13,4100.11,1.0037971894432747
2022-10-14,4198.86,1.0279733633648338
2022-10-17,4209.58,1.030597855359154
2022-10-18,4206.51,1.0298462517749596
2022-10-19,4144.93,1.0147701121284827
2022-10-20,4123.05,1.0094134064535083
2022-10-21,4114.65,1.0073569015325858
2022-10-24,4014.6,0.9828624589923126
2022-10-25,4004.94,0.9804974783332517
2022-10-26,4047.09,0.9908167262400236
2022-10-27,4024.54,0.9852959898154042
2022-10-28,3919.0,0.9594574744160995
2022-10-31,3896.87,0.9540395632375264
2022-11-01,4023.12,0.9849483425549626
2022-11-02,4068.81,0.9961342603926945
2022-11-03,4044.21,0.9901116388385643
2022-11-04,4165.89,1.019901581550213
2022-11-07,4173.93,1.0218699505459532
2022-11-08,4151.46,1.0163687998824855
2022-11-09,4120.47,1.008781765656368
2022-11-10,4091.6,1.0017137541007688
2022-11-11,4184.16,1.0243744797532195
2022-11-14,4187.09,1.0250918082553984
2022-11-15,4264.84,1.044126719874651
2022-11-16,4233.28,1.036400137100328
2022-11-17,4222.81,1.033836850609607
2022-11-18,4204.31,1.0293076433432895
2022-11-21,4177.5,1.0227439651373451
2022-11-22,4166.41,1.0200288889976987
2022-11-23,4167.9,1.020393673799148
2022-11-24,4155.05,1.0172477109141655
2022-11-25,4164.79,1.019632277334378
2022-11-28,4124.29,1.0097169857513588
2022-11-29,4237.6,1.0374577682025168
2022-11-30,4240.0,1.038045341037066
2022-12-01,4279.38,1.0476864319639623
2022-12-02,4256.72,1.0421387651177594
2022-12-05,4327.07,1.0593619938304852
2022-12-06,4343.77,1.0634505214708907
2022-12-07,4334.52,1.061185917837732
2022-12-08,4331.97,1.0605616217010234
2022-12-09,4364.92,1.0686285070753563
2022-12-12,4321.83,1.0580791264750526
2022-12-13,4309.5,1.0550604710375557
2022-12-14,4312.34,1.055755765558439
2022-12-15,4311.0,1.055427704059149
2022-12-16,4307.52,1.0545757234490527
2022-12-19,4233.28,1.036400137100328
2022-12-20,4170.66,1.0210693825588797
2022-12-21,4166.02,1.0199334084120846
2022-12-22,4158.29,1.018040934240807
2022-12-23,4149.11,1.0157934681486558
2022-12-26,4176.04,1.0223865249963278
2022-12-27,4219.67,1.033068109484405
2022-12-28,4201.95,1.028729863389316
2022-12-29,4189.31,1.0256353131273566
2022-12-30,4202.68,1.0289085834598248
2023-01-03,4232.51,1.0362116241492436
2023-01-04,4235.97,1.0370587083190521
2023-01-05,4307.76,1.0546344807325077
2023-01-06,4318.15,1.057178181462077
2023-01-09,4349.2,1.0647799050090585
2023-01-10,4354.23,1.0660113597414678
2023-01-11,4341.98,1.0630122900651227
2023-01-12,4348.53,1.0646158742594134
2023-01-13,4402.0,1.0777065073691428
2023-01-16,4465.95,1.093362875189737
2023-01-17,4466.55,1.0935097683983745
2023-01-18,4464.37,1.0929760564069921
2023-01-19,4494.8,1.1004259903050484
2023-01-20,4524.05,1.1075870342261176
2023-01-30,4545.9,1.11293639524066
2023-01-31,4510.96,1.10438231405768
2023-02-01,4556.58,1.1155510943544042
2023-02-02,4545.38,1.1128090877931744
2023-02-03,4508.58,1.1037996376634187
2023-02-06,4456.72,1.0911031679968664
2023-02-07,4465.39,1.0932257748616756
2023-02-08,4441.82,1.0874553199823727
2023-02-09,4501.84,1.1021495372863928
2023-02-10,4478.27,1.0963790824070903
2023-02-13,4517.47,1.105976105371395
2023-02-14,4521.3,1.10691377368653
2023-02-15,4501.47,1.1020589531410665
2023-02-16,4459.73,1.0918400822601968
2023-02-17,4402.5,1.0778289183763403
2023-02-20,4502.42,1.1022915340547423
2023-02-21,4518.03,1.1061132056994565
2023-02-22,4486.23,1.0983278656416784
2023-02-23,4480.87,1.0970156196445184
2023-02-24,4442.83,1.0877025902169124
2023-02-27,4422.78,1.0827939088282819
